Source,Target,Weight,Raw distance
BGC0000999.1,BGC0001556.1,0.1859399676322937,0.568792462348938
BGC0001043.1,BGC0001553.1,0.344449907541275,0.413101464509964
BGC0001553.1,BGC0001726.1,0.2263164669275284,0.5242726802825928
BGC0001556.1,NZ_JNXG01000011.region002,0.1633567065000534,0.5958259105682373
BGC0000999.1,BGC0001726.1,0.3812957108020783,0.3825085163116455
BGC0000996.1,BGC0001043.1,0.3791223168373108,0.38427090644836426
BGC0000996.1,BGC0001556.1,0.17723765969276428,0.5790039896965027
BGC0001043.1,BGC0001556.1,0.1922627091407776,0.5615223050117493
BGC0000999.1,NZ_JNXG01000011.region002,0.2892127633094788,0.4622149467468262
BGC0001553.1,NZ_JNXG01000011.region002,0.22585323452949524,0.524759829044342
BGC0001726.1,NZ_JNXG01000011.region002,0.6488842368125916,0.1944664865732193
BGC0000999.1,BGC0001043.1,0.3739623129367829,0.3884754180908203
BGC0001556.1,BGC0001726.1,0.1875814199447632,0.5668932795524597
BGC0000996.1,BGC0001726.1,0.3416273593902588,0.4155110120773315
BGC0000996.1,BGC0001553.1,0.2637651264667511,0.486419290304184
BGC0001043.1,BGC0001726.1,0.29876908659935,0.4534022510051727
BGC0000996.1,NZ_JNXG01000011.region002,0.3446168303489685,0.4129592478275299
BGC0000999.1,BGC0001553.1,0.29595890641212463,0.4559789299964905
BGC0000996.1,BGC0000999.1,0.2597579658031464,0.4903354644775391
BGC0001043.1,NZ_JNXG01000011.region002,0.2306179255247116,0.5197730660438538
BGC0001553.1,BGC0001556.1,0.16798332333564758,0.5901423096656799
