Source,Target,Weight,Raw distance
BGC0000999.1,BGC0001556.1,0.2752918601036072,0.4753173887729645
BGC0001435.1,NZ_JNXG01000011.region002,0.3115496337413788,0.4418336749076843
BGC0000996.1,BGC0001556.1,0.2762351334095001,0.4744192361831665
BGC0000999.1,NZ_JNXG01000011.region002,0.31962838768959045,0.4346431493759155
BGC0001556.1,BGC0001726.1,0.2859357893466949,0.4652703404426575
BGC0000996.1,BGC0000999.1,0.33336296677589417,0.4226240813732147
BGC0001043.1,BGC0001556.1,0.29827773571014404,0.4538519084453583
BGC0001726.1,NZ_JNXG01000011.region002,0.7436677813529968,0.13763825595378876
BGC0001043.1,BGC0001435.1,0.4010895490646362,0.366683691740036
BGC0001043.1,BGC0001726.1,0.3788031041622162,0.3845301866531372
BGC0001043.1,NZ_JNXG01000011.region002,0.37926143407821655,0.3841579556465149
BGC0000325.1,NZ_JNXG01000010.region001,0.5547911524772644,0.2551569640636444
BGC0001043.1,BGC0001553.1,0.428703248500824,0.3452456593513489
BGC0001553.1,BGC0001726.1,0.2958212494850159,0.4561054706573486
BGC0000999.1,BGC0001043.1,0.4000920951366425,0.3674716651439667
BGC0000999.1,BGC0001435.1,0.3030247092247009,0.4495232105255127
BGC0000996.1,NZ_JNXG01000011.region002,0.37866461277008057,0.3846426904201508
BGC0000999.1,BGC0001553.1,0.36799705028533936,0.3933724164962769
BGC0000392.1,NZ_JNXG01000010.region003,0.21982477605342865,0.5311452746391296
BGC0001553.1,BGC0001556.1,0.2637217938899994,0.486461490392685
BGC0000996.1,BGC0001435.1,0.3266412019729614,0.4284746646881104
BGC0001556.1,NZ_JNXG01000011.region002,0.3027435541152954,0.4497786164283752
BGC0000999.1,BGC0001726.1,0.3859378695487976,0.3787610232830048
BGC0000996.1,BGC0001043.1,0.4330441653728485,0.3419390916824341
BGC0001553.1,NZ_JNXG01000011.region002,0.2959429919719696,0.4559935629367829
BGC0000996.1,BGC0001726.1,0.37520790100097656,0.3874578475952149
BGC0000996.1,BGC0001553.1,0.3566328883171081,0.4028125107288361
